run_id,id,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,epoch,run,model,tran,testset
2,39,35.5782,0.8205,0.5908,0.5861,0.6057,201,34,0.25,xlnet-base-cased-ag_news-ORIG+SentMix,XLNet,SentMix,20NG
2,40,34.0215,0.9229,0.923,0.9236,0.9229,222,34,0.18,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,ORIG
2,41,38.6467,0.8171,0.6138,0.6271,0.6219,201,34,0.18,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,20NG
2,42,27.0711,0.9307,0.9307,0.931,0.9307,62,123,5.26,bert-base-uncased-targeted-TextMix,BERT,TextMix2,ORIG
2,43,24.8611,0.9299,0.9302,0.9314,0.9299,62,123,3.68,bert-base-uncased-targeted-SentMix,BERT,SentMix2,ORIG
2,44,21.5013,0.9086,0.9086,0.9087,0.9086,62,123,1.93,bert-base-uncased-targeted-WordMix,BERT,WordMix2,ORIG
2,45,25.2433,0.9361,0.936,0.9362,0.9361,61,124,5.18,roberta-base-targeted-TextMix,RoBERTa,TextMix2,ORIG
2,46,25.5336,0.9375,0.9376,0.9383,0.9375,61,124,4.3,roberta-base-targeted-SentMix,RoBERTa,SentMix2,ORIG
2,47,21.7014,0.9088,0.9088,0.9106,0.9088,62,123,3.25,roberta-base-targeted-WordMix,RoBERTa,WordMix2,ORIG
2,48,27.1538,0.9329,0.9329,0.9334,0.9329,138,55,6.58,xlnet-base-cased-targeted-TextMix,XLNet,TextMix2,ORIG
2,49,24.2506,0.9359,0.936,0.9363,0.9359,139,55,4.12,xlnet-base-cased-targeted-SentMix,XLNet,SentMix2,ORIG
2,50,20.2595,0.9162,0.9163,0.9169,0.9162,138,55,2.81,xlnet-base-cased-targeted-WordMix,XLNet,WordMix2,ORIG
3,0,0.4907,0.9088,0.9086,0.9108,0.9088,99,76,1.58,bert-base-uncased-ag_news-ORIG+ORIG,BERT,ORIG,ORIG
3,1,0.9149,0.827,0.5886,0.6152,0.5786,90,76,1.58,bert-base-uncased-ag_news-ORIG+ORIG,BERT,ORIG,20NG
3,2,0.4419,0.9147,0.915,0.9156,0.9147,100,76,0.92,bert-base-uncased-ag_news-ORIG+INV,BERT,INV,ORIG
3,3,0.8254,0.806,0.611,0.6255,0.6127,90,76,0.92,bert-base-uncased-ag_news-ORIG+INV,BERT,INV,20NG
3,4,27.0923,0.9101,0.9099,0.9099,0.9101,100,76,0.72,bert-base-uncased-ag_news-ORIG+SIB,BERT,SIB,ORIG
3,5,30.235,0.8688,0.6596,0.6727,0.6488,91,76,0.72,bert-base-uncased-ag_news-ORIG+SIB,BERT,SIB,20NG
3,6,29.6669,0.9122,0.9119,0.9122,0.9122,100,76,0.99,bert-base-uncased-ag_news-ORIG+INVSIB,BERT,INVSIB,ORIG
3,7,33.6807,0.826,0.6285,0.6395,0.6196,91,76,0.99,bert-base-uncased-ag_news-ORIG+INVSIB,BERT,INVSIB,20NG
3,8,28.2661,0.9084,0.9081,0.9081,0.9084,99,77,0.72,bert-base-uncased-ag_news-ORIG+TextMix,BERT,TextMix,ORIG
3,9,32.3331,0.8623,0.6415,0.6438,0.6434,90,77,0.72,bert-base-uncased-ag_news-ORIG+TextMix,BERT,TextMix,20NG
3,10,30.5063,0.9282,0.9281,0.9282,0.9282,99,77,0.57,bert-base-uncased-ag_news-ORIG+SentMix,BERT,SentMix,ORIG
3,11,33.6564,0.8638,0.6391,0.6475,0.6357,90,76,0.57,bert-base-uncased-ag_news-ORIG+SentMix,BERT,SentMix,20NG
3,12,29.7908,0.9209,0.9208,0.9216,0.9209,100,76,0.49,bert-base-uncased-ag_news-ORIG+WordMix,BERT,WordMix,ORIG
3,13,36.462,0.8609,0.6393,0.6485,0.6337,90,76,0.49,bert-base-uncased-ag_news-ORIG+WordMix,BERT,WordMix,20NG
3,14,0.4514,0.9134,0.9133,0.9148,0.9134,98,77,1.45,roberta-base-ag_news-ORIG+ORIG,RoBERTa,ORIG,ORIG
3,15,0.7448,0.8591,0.6346,0.6326,0.6495,89,77,1.45,roberta-base-ag_news-ORIG+ORIG,RoBERTa,ORIG,20NG
3,16,0.4442,0.9136,0.9138,0.9144,0.9136,98,77,0.86,roberta-base-ag_news-ORIG+INV,RoBERTa,INV,ORIG
3,17,0.5745,0.8572,0.6213,0.6422,0.6052,90,77,0.86,roberta-base-ag_news-ORIG+INV,RoBERTa,INV,20NG
3,18,30.9849,0.9151,0.9151,0.9165,0.9151,98,77,0.79,roberta-base-ag_news-ORIG+SIB,RoBERTa,SIB,ORIG
3,19,38.4416,0.8286,0.6378,0.6927,0.5942,90,77,0.79,roberta-base-ag_news-ORIG+SIB,RoBERTa,SIB,20NG
3,20,32.9616,0.9113,0.9114,0.9121,0.9113,98,77,0.79,roberta-base-ag_news-ORIG+INVSIB,RoBERTa,INVSIB,ORIG
3,21,39.1454,0.7856,0.6083,0.6492,0.5766,90,77,0.79,roberta-base-ag_news-ORIG+INVSIB,RoBERTa,INVSIB,20NG
3,22,27.5402,0.9151,0.9151,0.9154,0.9151,98,77,0.92,roberta-base-ag_news-ORIG+TextMix,RoBERTa,TextMix,ORIG
3,23,30.2952,0.7184,0.5522,0.5782,0.5558,90,77,0.92,roberta-base-ag_news-ORIG+TextMix,RoBERTa,TextMix,20NG
3,24,29.8908,0.9192,0.9188,0.9223,0.9192,98,78,0.57,roberta-base-ag_news-ORIG+SentMix,RoBERTa,SentMix,ORIG
3,25,37.0628,0.8503,0.5939,0.6639,0.5589,89,77,0.57,roberta-base-ag_news-ORIG+SentMix,RoBERTa,SentMix,20NG
3,26,28.3649,0.9201,0.9202,0.9205,0.9201,98,78,0.46,roberta-base-ag_news-ORIG+WordMix,RoBERTa,WordMix,ORIG
3,27,31.43,0.8244,0.6318,0.6575,0.6081,89,77,0.46,roberta-base-ag_news-ORIG+WordMix,RoBERTa,WordMix,20NG
3,28,0.4781,0.9124,0.9125,0.9138,0.9124,238,32,1.45,xlnet-base-cased-ag_news-ORIG+ORIG,XLNet,ORIG,ORIG
3,29,0.9049,0.8346,0.657,0.6979,0.621,202,34,1.45,xlnet-base-cased-ag_news-ORIG+ORIG,XLNet,ORIG,20NG
3,30,0.4659,0.9138,0.9139,0.9144,0.9138,237,32,0.79,xlnet-base-cased-ag_news-ORIG+INV,XLNet,INV,ORIG
3,31,0.7041,0.8073,0.6339,0.6793,0.5994,201,34,0.79,xlnet-base-cased-ag_news-ORIG+INV,XLNet,INV,20NG
3,32,33.5582,0.9189,0.9192,0.9202,0.9189,222,34,0.79,xlnet-base-cased-ag_news-ORIG+SIB,XLNet,SIB,ORIG
3,33,40.7105,0.8292,0.6125,0.6362,0.5961,201,34,0.79,xlnet-base-cased-ag_news-ORIG+SIB,XLNet,SIB,20NG
3,34,36.5836,0.9121,0.9118,0.9118,0.9121,222,34,0.72,xlnet-base-cased-ag_news-ORIG+INVSIB,XLNet,INVSIB,ORIG
3,35,41.6565,0.8622,0.6558,0.6638,0.6492,201,34,0.72,xlnet-base-cased-ag_news-ORIG+INVSIB,XLNet,INVSIB,20NG
3,36,28.5408,0.9109,0.9103,0.9117,0.9109,222,34,0.92,xlnet-base-cased-ag_news-ORIG+TextMix,XLNet,TextMix,ORIG
3,37,34.2705,0.8601,0.6247,0.6191,0.6421,201,34,0.92,xlnet-base-cased-ag_news-ORIG+TextMix,XLNet,TextMix,20NG
3,38,31.3636,0.9218,0.9217,0.9224,0.9218,222,34,0.53,xlnet-base-cased-ag_news-ORIG+SentMix,XLNet,SentMix,ORIG
3,39,34.2638,0.8479,0.6285,0.6332,0.6311,201,34,0.53,xlnet-base-cased-ag_news-ORIG+SentMix,XLNet,SentMix,20NG
3,40,29.8209,0.9271,0.927,0.928,0.9271,222,34,0.49,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,ORIG
3,41,34.4817,0.8116,0.6143,0.6261,0.6085,201,34,0.49,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,20NG
3,42,0.3171,0.9318,,,,100,76,2.81,bert-base-uncased-targeted-TextMix,BERT,TextMix2,ORIG
3,43,0.2666,0.9247,,,,101,76,1.26,bert-base-uncased-targeted-SentMix,BERT,SentMix2,ORIG
3,44,0.2805,0.9145,,,,100,76,0.91,bert-base-uncased-targeted-WordMix,BERT,WordMix2,ORIG
3,45,0.2961,0.9293,,,,99,77,1.19,roberta-base-targeted-TextMix,RoBERTa,TextMix2,ORIG
3,46,0.3441,0.923,,,,100,76,1.12,roberta-base-targeted-SentMix,RoBERTa,SentMix2,ORIG
3,47,0.3149,0.9195,,,,100,76,1.89,roberta-base-targeted-WordMix,RoBERTa,WordMix2,ORIG
3,48,0.3272,0.9255,,,,221,34,0.89,xlnet-base-cased-targeted-TextMix,XLNet,TextMix2,ORIG
3,49,0.3172,0.9262,,,,221,34,0.95,xlnet-base-cased-targeted-SentMix,XLNet,SentMix2,ORIG
3,50,0.3576,0.9129,,,,221,34,1.11,xlnet-base-cased-targeted-WordMix,XLNet,WordMix2,ORIG
