,checkpoint,recipe,attack_success
23,pretrained/bert-base-uncased-ag_news-ORIG+SentMix\checkpoint-15000,TextBuggerLi2018,0.57
24,pretrained/bert-base-uncased-ag_news-ORIG+WordMix\checkpoint-25000,TextFoolerJin2019,0.78
25,pretrained/bert-base-uncased-ag_news-ORIG+WordMix\checkpoint-25000,DeepWordBugGao2018,0.65
26,pretrained/bert-base-uncased-ag_news-ORIG+WordMix\checkpoint-25000,Pruthi2019,0.05
27,pretrained/bert-base-uncased-ag_news-ORIG+WordMix\checkpoint-25000,TextBuggerLi2018,0.47
28,pretrained/roberta-base-ag_news-ORIG+ORIG\checkpoint-5000,TextFoolerJin2019,0.69
29,pretrained/roberta-base-ag_news-ORIG+ORIG\checkpoint-5000,DeepWordBugGao2018,0.52
30,pretrained/roberta-base-ag_news-ORIG+ORIG\checkpoint-5000,Pruthi2019,0.1
31,pretrained/roberta-base-ag_news-ORIG+ORIG\checkpoint-5000,TextBuggerLi2018,0.39
32,pretrained/roberta-base-ag_news-ORIG+INV\checkpoint-15000,TextFoolerJin2019,0.77
33,pretrained/roberta-base-ag_news-ORIG+INV\checkpoint-15000,DeepWordBugGao2018,0.69
34,pretrained/roberta-base-ag_news-ORIG+INV\checkpoint-15000,Pruthi2019,0.1
35,pretrained/roberta-base-ag_news-ORIG+INV\checkpoint-15000,TextBuggerLi2018,0.41
36,pretrained/roberta-base-ag_news-ORIG+SIB\checkpoint-10000,TextFoolerJin2019,0.67
37,pretrained/roberta-base-ag_news-ORIG+SIB\checkpoint-10000,DeepWordBugGao2018,0.57
38,pretrained/roberta-base-ag_news-ORIG+SIB\checkpoint-10000,Pruthi2019,0.11
39,pretrained/roberta-base-ag_news-ORIG+SIB\checkpoint-10000,TextBuggerLi2018,0.47
40,pretrained/roberta-base-ag_news-ORIG+INVSIB\checkpoint-10000,TextFoolerJin2019,0.66
41,pretrained/roberta-base-ag_news-ORIG+INVSIB\checkpoint-10000,DeepWordBugGao2018,0.54
42,pretrained/roberta-base-ag_news-ORIG+INVSIB\checkpoint-10000,Pruthi2019,0.06
43,pretrained/roberta-base-ag_news-ORIG+INVSIB\checkpoint-10000,TextBuggerLi2018,0.39
44,pretrained/roberta-base-ag_news-ORIG+TextMix\checkpoint-20000,TextFoolerJin2019,0.77
45,pretrained/roberta-base-ag_news-ORIG+TextMix\checkpoint-20000,DeepWordBugGao2018,0.56
46,pretrained/roberta-base-ag_news-ORIG+TextMix\checkpoint-20000,Pruthi2019,0.12
47,pretrained/roberta-base-ag_news-ORIG+TextMix\checkpoint-20000,TextBuggerLi2018,0.53
48,pretrained/roberta-base-ag_news-ORIG+SentMix\checkpoint-15000,TextFoolerJin2019,0.7
49,pretrained/roberta-base-ag_news-ORIG+SentMix\checkpoint-15000,DeepWordBugGao2018,0.59
50,pretrained/roberta-base-ag_news-ORIG+SentMix\checkpoint-15000,Pruthi2019,0.13
51,pretrained/roberta-base-ag_news-ORIG+SentMix\checkpoint-15000,TextBuggerLi2018,0.46
52,pretrained/roberta-base-ag_news-ORIG+WordMix\checkpoint-20000,TextFoolerJin2019,0.8
53,pretrained/roberta-base-ag_news-ORIG+WordMix\checkpoint-20000,DeepWordBugGao2018,0.64
54,pretrained/roberta-base-ag_news-ORIG+WordMix\checkpoint-20000,Pruthi2019,0.07
55,pretrained/roberta-base-ag_news-ORIG+WordMix\checkpoint-20000,TextBuggerLi2018,0.39
56,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG\checkpoint-5000,TextFoolerJin2019,0.69
57,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG\checkpoint-5000,DeepWordBugGao2018,0.59
58,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG\checkpoint-5000,Pruthi2019,0.11
59,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG\checkpoint-5000,TextBuggerLi2018,0.44
60,pretrained/xlnet-base-cased-ag_news-ORIG+INV\checkpoint-10000,TextFoolerJin2019,0.74
61,pretrained/xlnet-base-cased-ag_news-ORIG+INV\checkpoint-10000,DeepWordBugGao2018,0.57
62,pretrained/xlnet-base-cased-ag_news-ORIG+INV\checkpoint-10000,Pruthi2019,0.07
63,pretrained/xlnet-base-cased-ag_news-ORIG+INV\checkpoint-10000,TextBuggerLi2018,0.36
64,pretrained/xlnet-base-cased-ag_news-ORIG+SIB\checkpoint-10000,TextFoolerJin2019,0.72
65,pretrained/xlnet-base-cased-ag_news-ORIG+SIB\checkpoint-10000,DeepWordBugGao2018,0.55
66,pretrained/xlnet-base-cased-ag_news-ORIG+SIB\checkpoint-10000,Pruthi2019,0.08
67,pretrained/xlnet-base-cased-ag_news-ORIG+SIB\checkpoint-10000,TextBuggerLi2018,0.42
68,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB\checkpoint-5000,TextFoolerJin2019,0.84
69,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB\checkpoint-5000,DeepWordBugGao2018,0.66
70,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB\checkpoint-5000,Pruthi2019,0.11
71,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB\checkpoint-5000,TextBuggerLi2018,0.44
72,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix\checkpoint-20000,TextFoolerJin2019,0.74
73,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix\checkpoint-20000,DeepWordBugGao2018,0.68
74,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix\checkpoint-20000,Pruthi2019,0.09
75,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix\checkpoint-20000,TextBuggerLi2018,0.43
76,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix\checkpoint-10000,TextFoolerJin2019,0.77
77,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix\checkpoint-10000,DeepWordBugGao2018,0.6
78,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix\checkpoint-10000,Pruthi2019,0.05
79,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix\checkpoint-10000,TextBuggerLi2018,0.38
80,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix\checkpoint-25000,TextFoolerJin2019,0.88
81,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix\checkpoint-25000,DeepWordBugGao2018,0.69
82,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix\checkpoint-25000,Pruthi2019,0.06
83,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix\checkpoint-25000,TextBuggerLi2018,0.44
