,checkpoint,recipe,attack_success
23,pretrained/bert-base-uncased-ag_news-ORIG+SentMix\checkpoint-15000,TextBuggerLi2018,0.57
24,pretrained/bert-base-uncased-ag_news-ORIG+WordMix\checkpoint-25000,TextFoolerJin2019,0.78
25,pretrained/bert-base-uncased-ag_news-ORIG+WordMix\checkpoint-25000,DeepWordBugGao2018,0.65
26,pretrained/bert-base-uncased-ag_news-ORIG+WordMix\checkpoint-25000,Pruthi2019,0.05
27,pretrained/bert-base-uncased-ag_news-ORIG+WordMix\checkpoint-25000,TextBuggerLi2018,0.47
28,pretrained/roberta-base-ag_news-ORIG+ORIG\checkpoint-5000,TextFoolerJin2019,0.69
29,pretrained/roberta-base-ag_news-ORIG+ORIG\checkpoint-5000,DeepWordBugGao2018,0.52
30,pretrained/roberta-base-ag_news-ORIG+ORIG\checkpoint-5000,Pruthi2019,0.1
31,pretrained/roberta-base-ag_news-ORIG+ORIG\checkpoint-5000,TextBuggerLi2018,0.39
32,pretrained/roberta-base-ag_news-ORIG+INV\checkpoint-15000,TextFoolerJin2019,0.77
33,pretrained/roberta-base-ag_news-ORIG+INV\checkpoint-15000,DeepWordBugGao2018,0.69
34,pretrained/roberta-base-ag_news-ORIG+INV\checkpoint-15000,Pruthi2019,0.1
35,pretrained/roberta-base-ag_news-ORIG+INV\checkpoint-15000,TextBuggerLi2018,0.41
36,pretrained/roberta-base-ag_news-ORIG+SIB\checkpoint-10000,TextFoolerJin2019,0.67
37,pretrained/roberta-base-ag_news-ORIG+SIB\checkpoint-10000,DeepWordBugGao2018,0.57
38,pretrained/roberta-base-ag_news-ORIG+SIB\checkpoint-10000,Pruthi2019,0.11
39,pretrained/roberta-base-ag_news-ORIG+SIB\checkpoint-10000,TextBuggerLi2018,0.47
40,pretrained/roberta-base-ag_news-ORIG+INVSIB\checkpoint-10000,TextFoolerJin2019,0.66
41,pretrained/roberta-base-ag_news-ORIG+INVSIB\checkpoint-10000,DeepWordBugGao2018,0.54
42,pretrained/roberta-base-ag_news-ORIG+INVSIB\checkpoint-10000,Pruthi2019,0.06
43,pretrained/roberta-base-ag_news-ORIG+INVSIB\checkpoint-10000,TextBuggerLi2018,0.39
44,pretrained/roberta-base-ag_news-ORIG+TextMix\checkpoint-20000,TextFoolerJin2019,0.77
45,pretrained/roberta-base-ag_news-ORIG+TextMix\checkpoint-20000,DeepWordBugGao2018,0.56
46,pretrained/roberta-base-ag_news-ORIG+TextMix\checkpoint-20000,Pruthi2019,0.12
47,pretrained/roberta-base-ag_news-ORIG+TextMix\checkpoint-20000,TextBuggerLi2018,0.53
48,pretrained/roberta-base-ag_news-ORIG+SentMix\checkpoint-15000,TextFoolerJin2019,0.7
49,pretrained/roberta-base-ag_news-ORIG+SentMix\checkpoint-15000,DeepWordBugGao2018,0.59
50,pretrained/roberta-base-ag_news-ORIG+SentMix\checkpoint-15000,Pruthi2019,0.13
51,pretrained/roberta-base-ag_news-ORIG+SentMix\checkpoint-15000,TextBuggerLi2018,0.46
52,pretrained/roberta-base-ag_news-ORIG+WordMix\checkpoint-20000,TextFoolerJin2019,0.8
53,pretrained/roberta-base-ag_news-ORIG+WordMix\checkpoint-20000,DeepWordBugGao2018,0.64
54,pretrained/roberta-base-ag_news-ORIG+WordMix\checkpoint-20000,Pruthi2019,0.07
55,pretrained/roberta-base-ag_news-ORIG+WordMix\checkpoint-20000,TextBuggerLi2018,0.39
56,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG\checkpoint-5000,TextFoolerJin2019,0.69
57,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG\checkpoint-5000,DeepWordBugGao2018,0.59
58,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG\checkpoint-5000,Pruthi2019,0.11
59,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG\checkpoint-5000,TextBuggerLi2018,0.44
60,pretrained/xlnet-base-cased-ag_news-ORIG+INV\checkpoint-10000,TextFoolerJin2019,0.74
61,pretrained/xlnet-base-cased-ag_news-ORIG+INV\checkpoint-10000,DeepWordBugGao2018,0.57
62,pretrained/xlnet-base-cased-ag_news-ORIG+INV\checkpoint-10000,Pruthi2019,0.07
63,pretrained/xlnet-base-cased-ag_news-ORIG+INV\checkpoint-10000,TextBuggerLi2018,0.36
64,pretrained/xlnet-base-cased-ag_news-ORIG+SIB\checkpoint-10000,TextFoolerJin2019,0.72
65,pretrained/xlnet-base-cased-ag_news-ORIG+SIB\checkpoint-10000,DeepWordBugGao2018,0.55
66,pretrained/xlnet-base-cased-ag_news-ORIG+SIB\checkpoint-10000,Pruthi2019,0.08
67,pretrained/xlnet-base-cased-ag_news-ORIG+SIB\checkpoint-10000,TextBuggerLi2018,0.42
68,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB\checkpoint-5000,TextFoolerJin2019,0.84
69,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB\checkpoint-5000,DeepWordBugGao2018,0.66
70,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB\checkpoint-5000,Pruthi2019,0.11
71,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB\checkpoint-5000,TextBuggerLi2018,0.44
72,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix\checkpoint-20000,TextFoolerJin2019,0.74
73,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix\checkpoint-20000,DeepWordBugGao2018,0.68
74,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix\checkpoint-20000,Pruthi2019,0.09
75,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix\checkpoint-20000,TextBuggerLi2018,0.43
76,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix\checkpoint-10000,TextFoolerJin2019,0.77
77,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix\checkpoint-10000,DeepWordBugGao2018,0.6
78,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix\checkpoint-10000,Pruthi2019,0.05
79,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix\checkpoint-10000,TextBuggerLi2018,0.38
80,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix\checkpoint-25000,TextFoolerJin2019,0.88
81,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix\checkpoint-25000,DeepWordBugGao2018,0.69
82,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix\checkpoint-25000,Pruthi2019,0.06
83,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix\checkpoint-25000,TextBuggerLi2018,0.44
84,pretrained/bert-base-uncased-sst2-ORIG+ORIG,TextFoolerJin2019,0.9
85,pretrained/bert-base-uncased-sst2-ORIG+ORIG,DeepWordBugGao2018,0.77
86,pretrained/bert-base-uncased-sst2-ORIG+ORIG,Pruthi2019,0.53
87,pretrained/bert-base-uncased-sst2-ORIG+ORIG,TextBuggerLi2018,0.4
88,pretrained/bert-base-uncased-sst2-ORIG+INV\checkpoint-8000,TextFoolerJin2019,0.84
89,pretrained/bert-base-uncased-sst2-ORIG+INV\checkpoint-8000,DeepWordBugGao2018,0.75
90,pretrained/bert-base-uncased-sst2-ORIG+INV\checkpoint-8000,Pruthi2019,0.43
91,pretrained/bert-base-uncased-sst2-ORIG+INV\checkpoint-8000,TextBuggerLi2018,0.3
92,pretrained/bert-base-uncased-sst2-ORIG+SIB\checkpoint-120000,TextFoolerJin2019,0.88
93,pretrained/bert-base-uncased-sst2-ORIG+SIB\checkpoint-120000,DeepWordBugGao2018,0.74
94,pretrained/bert-base-uncased-sst2-ORIG+SIB\checkpoint-120000,Pruthi2019,0.6
95,pretrained/bert-base-uncased-sst2-ORIG+SIB\checkpoint-120000,TextBuggerLi2018,0.36
96,pretrained/bert-base-uncased-sst2-ORIG+INVSIB\checkpoint-28000,TextFoolerJin2019,0.92
97,pretrained/bert-base-uncased-sst2-ORIG+INVSIB\checkpoint-28000,DeepWordBugGao2018,0.76
98,pretrained/bert-base-uncased-sst2-ORIG+INVSIB\checkpoint-28000,Pruthi2019,0.65
99,pretrained/bert-base-uncased-sst2-ORIG+INVSIB\checkpoint-28000,TextBuggerLi2018,0.42
100,pretrained/bert-base-uncased-sst2-ORIG+TextMix\checkpoint-58000,TextFoolerJin2019,0.92
101,pretrained/bert-base-uncased-sst2-ORIG+TextMix\checkpoint-58000,DeepWordBugGao2018,0.73
102,pretrained/bert-base-uncased-sst2-ORIG+TextMix\checkpoint-58000,Pruthi2019,0.62
103,pretrained/bert-base-uncased-sst2-ORIG+TextMix\checkpoint-58000,TextBuggerLi2018,0.46
104,pretrained/bert-base-uncased-sst2-ORIG+SentMix\checkpoint-14000,TextFoolerJin2019,0.78
105,pretrained/bert-base-uncased-sst2-ORIG+SentMix\checkpoint-14000,DeepWordBugGao2018,0.59
106,pretrained/bert-base-uncased-sst2-ORIG+SentMix\checkpoint-14000,Pruthi2019,0.46
107,pretrained/bert-base-uncased-sst2-ORIG+SentMix\checkpoint-14000,TextBuggerLi2018,0.38
108,pretrained/bert-base-uncased-sst2-ORIG+WordMix\checkpoint-128000,TextFoolerJin2019,0.74
109,pretrained/bert-base-uncased-sst2-ORIG+WordMix\checkpoint-128000,DeepWordBugGao2018,0.56
110,pretrained/bert-base-uncased-sst2-ORIG+WordMix\checkpoint-128000,Pruthi2019,0.58
111,pretrained/bert-base-uncased-sst2-ORIG+WordMix\checkpoint-128000,TextBuggerLi2018,0.35
112,pretrained/roberta-base-sst2-ORIG+ORIG\checkpoint-4000,TextFoolerJin2019,0.87
113,pretrained/roberta-base-sst2-ORIG+ORIG\checkpoint-4000,DeepWordBugGao2018,0.63
114,pretrained/roberta-base-sst2-ORIG+ORIG\checkpoint-4000,Pruthi2019,0.5
115,pretrained/roberta-base-sst2-ORIG+ORIG\checkpoint-4000,TextBuggerLi2018,0.37
116,pretrained/roberta-base-sst2-ORIG+INV\checkpoint-4000,TextFoolerJin2019,0.85
117,pretrained/roberta-base-sst2-ORIG+INV\checkpoint-4000,DeepWordBugGao2018,0.69
118,pretrained/roberta-base-sst2-ORIG+INV\checkpoint-4000,Pruthi2019,0.44
119,pretrained/roberta-base-sst2-ORIG+INV\checkpoint-4000,TextBuggerLi2018,0.29
120,pretrained/roberta-base-sst2-ORIG+SIB\checkpoint-6000,TextFoolerJin2019,0.86
121,pretrained/roberta-base-sst2-ORIG+SIB\checkpoint-6000,DeepWordBugGao2018,0.66
122,pretrained/roberta-base-sst2-ORIG+SIB\checkpoint-6000,Pruthi2019,0.42
123,pretrained/roberta-base-sst2-ORIG+SIB\checkpoint-6000,TextBuggerLi2018,0.39
124,pretrained/roberta-base-sst2-ORIG+INVSIB\checkpoint-8000,TextFoolerJin2019,0.88
125,pretrained/roberta-base-sst2-ORIG+INVSIB\checkpoint-8000,DeepWordBugGao2018,0.57
126,pretrained/roberta-base-sst2-ORIG+INVSIB\checkpoint-8000,Pruthi2019,0.44
127,pretrained/roberta-base-sst2-ORIG+INVSIB\checkpoint-8000,TextBuggerLi2018,0.37
128,pretrained/roberta-base-sst2-ORIG+TextMix\checkpoint-30000,TextFoolerJin2019,0.88
129,pretrained/roberta-base-sst2-ORIG+TextMix\checkpoint-30000,DeepWordBugGao2018,0.7
130,pretrained/roberta-base-sst2-ORIG+TextMix\checkpoint-30000,Pruthi2019,0.55
131,pretrained/roberta-base-sst2-ORIG+TextMix\checkpoint-30000,TextBuggerLi2018,0.37
132,pretrained/roberta-base-sst2-ORIG+SentMix\checkpoint-50000,TextFoolerJin2019,0.84
133,pretrained/roberta-base-sst2-ORIG+SentMix\checkpoint-50000,DeepWordBugGao2018,0.66
134,pretrained/roberta-base-sst2-ORIG+SentMix\checkpoint-50000,Pruthi2019,0.54
135,pretrained/roberta-base-sst2-ORIG+SentMix\checkpoint-50000,TextBuggerLi2018,0.4
136,pretrained/roberta-base-sst2-ORIG+WordMix\checkpoint-22000,TextFoolerJin2019,0.9
137,pretrained/roberta-base-sst2-ORIG+WordMix\checkpoint-22000,DeepWordBugGao2018,0.71
138,pretrained/roberta-base-sst2-ORIG+WordMix\checkpoint-22000,Pruthi2019,0.53
139,pretrained/roberta-base-sst2-ORIG+WordMix\checkpoint-22000,TextBuggerLi2018,0.38
140,pretrained/xlnet-base-cased-sst2-ORIG+ORIG\checkpoint-4000,TextFoolerJin2019,0.83
141,pretrained/xlnet-base-cased-sst2-ORIG+ORIG\checkpoint-4000,DeepWordBugGao2018,0.73
142,pretrained/xlnet-base-cased-sst2-ORIG+ORIG\checkpoint-4000,Pruthi2019,0.56
143,pretrained/xlnet-base-cased-sst2-ORIG+ORIG\checkpoint-4000,TextBuggerLi2018,0.35
144,pretrained/xlnet-base-cased-sst2-ORIG+INV\checkpoint-12000,TextFoolerJin2019,0.81
145,pretrained/xlnet-base-cased-sst2-ORIG+INV\checkpoint-12000,DeepWordBugGao2018,0.59
146,pretrained/xlnet-base-cased-sst2-ORIG+INV\checkpoint-12000,Pruthi2019,0.44
147,pretrained/xlnet-base-cased-sst2-ORIG+INV\checkpoint-12000,TextBuggerLi2018,0.38
148,pretrained/xlnet-base-cased-sst2-ORIG+SIB\checkpoint-8000,TextFoolerJin2019,0.87
149,pretrained/xlnet-base-cased-sst2-ORIG+SIB\checkpoint-8000,DeepWordBugGao2018,0.7
150,pretrained/xlnet-base-cased-sst2-ORIG+SIB\checkpoint-8000,Pruthi2019,0.43
151,pretrained/xlnet-base-cased-sst2-ORIG+SIB\checkpoint-8000,TextBuggerLi2018,0.3
152,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB\checkpoint-8000,TextFoolerJin2019,0.86
153,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB\checkpoint-8000,DeepWordBugGao2018,0.62
154,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB\checkpoint-8000,Pruthi2019,0.42
155,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB\checkpoint-8000,TextBuggerLi2018,0.34
156,pretrained/xlnet-base-cased-sst2-ORIG+TextMix\checkpoint-14000,TextFoolerJin2019,0.9
157,pretrained/xlnet-base-cased-sst2-ORIG+TextMix\checkpoint-14000,DeepWordBugGao2018,0.73
158,pretrained/xlnet-base-cased-sst2-ORIG+TextMix\checkpoint-14000,Pruthi2019,0.64
159,pretrained/xlnet-base-cased-sst2-ORIG+TextMix\checkpoint-14000,TextBuggerLi2018,0.44
160,pretrained/xlnet-base-cased-sst2-ORIG+SentMix\checkpoint-12500,TextFoolerJin2019,0.89
161,pretrained/xlnet-base-cased-sst2-ORIG+SentMix\checkpoint-12500,DeepWordBugGao2018,0.84
162,pretrained/xlnet-base-cased-sst2-ORIG+SentMix\checkpoint-12500,Pruthi2019,0.52
163,pretrained/xlnet-base-cased-sst2-ORIG+SentMix\checkpoint-12500,TextBuggerLi2018,0.4
164,pretrained/xlnet-base-cased-sst2-ORIG+WordMix\checkpoint-24500,TextFoolerJin2019,0.87
165,pretrained/xlnet-base-cased-sst2-ORIG+WordMix\checkpoint-24500,DeepWordBugGao2018,0.75
166,pretrained/xlnet-base-cased-sst2-ORIG+WordMix\checkpoint-24500,Pruthi2019,0.57
167,pretrained/xlnet-base-cased-sst2-ORIG+WordMix\checkpoint-24500,TextBuggerLi2018,0.41
