dataset,run_id,id,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,epoch,run,model,tran,testset
AG_NEWS,1,48,29.7666,0.9384,0.9383,0.9387,0.9384,138,55,8.07,xlnet-base-cased-targeted-TextMix,XLNet,TextMix2,ORIG
AG_NEWS,1,49,22.8468,0.9337,0.9337,0.9342,0.9337,138,55,2.46,xlnet-base-cased-targeted-SentMix,XLNet,SentMix2,ORIG
AG_NEWS,1,50,19.8788,0.9064,0.9063,0.9085,0.9064,138,55,2.28,xlnet-base-cased-targeted-WordMix,XLNet,WordMix2,ORIG
AG_NEWS,2,0,0.4033,0.9097,0.9094,0.9093,0.9097,100,76,0.42,bert-base-uncased-ag_news-ORIG+ORIG,BERT,ORIG,ORIG
AG_NEWS,2,1,0.7386,0.837,0.6281,0.6296,0.6327,91,76,0.42,bert-base-uncased-ag_news-ORIG+ORIG,BERT,ORIG,20NG
AG_NEWS,2,2,0.3881,0.9196,0.9194,0.9199,0.9196,100,76,0.28,bert-base-uncased-ag_news-ORIG+INV,BERT,INV,ORIG
AG_NEWS,2,3,0.6265,0.846,0.647,0.6649,0.6314,90,76,0.28,bert-base-uncased-ag_news-ORIG+INV,BERT,INV,20NG
AG_NEWS,2,4,28.3225,0.9166,0.9164,0.9167,0.9166,99,76,0.32,bert-base-uncased-ag_news-ORIG+SIB,BERT,SIB,ORIG
AG_NEWS,2,5,30.4923,0.8378,0.6353,0.65,0.63,90,76,0.32,bert-base-uncased-ag_news-ORIG+SIB,BERT,SIB,20NG
AG_NEWS,2,6,29.8626,0.9124,0.9121,0.9125,0.9124,100,76,0.28,bert-base-uncased-ag_news-ORIG+INVSIB,BERT,INVSIB,ORIG
AG_NEWS,2,7,32.2601,0.8437,0.6348,0.6406,0.6334,91,76,0.28,bert-base-uncased-ag_news-ORIG+INVSIB,BERT,INVSIB,20NG
AG_NEWS,2,8,30.8972,0.9222,0.9222,0.9226,0.9222,99,77,0.32,bert-base-uncased-ag_news-ORIG+TextMix,BERT,TextMix,ORIG
AG_NEWS,2,9,35.2543,0.8828,0.6528,0.6748,0.6336,90,77,0.32,bert-base-uncased-ag_news-ORIG+TextMix,BERT,TextMix,20NG
AG_NEWS,2,10,28.1669,0.9234,0.9232,0.9234,0.9234,100,76,0.21,bert-base-uncased-ag_news-ORIG+SentMix,BERT,SentMix,ORIG
AG_NEWS,2,11,31.7156,0.861,0.6217,0.656,0.5997,91,76,0.21,bert-base-uncased-ag_news-ORIG+SentMix,BERT,SentMix,20NG
AG_NEWS,2,12,29.5814,0.9196,0.9197,0.9207,0.9196,100,76,0.2,bert-base-uncased-ag_news-ORIG+WordMix,BERT,WordMix,ORIG
AG_NEWS,2,13,34.0894,0.8664,0.638,0.6449,0.6326,90,76,0.2,bert-base-uncased-ag_news-ORIG+WordMix,BERT,WordMix,20NG
AG_NEWS,2,14,0.4765,0.9091,0.909,0.9104,0.9091,98,77,0.37,roberta-base-ag_news-ORIG+ORIG,RoBERTa,ORIG,ORIG
AG_NEWS,2,15,0.6181,0.8723,0.6426,0.6457,0.6408,90,77,0.37,roberta-base-ag_news-ORIG+ORIG,RoBERTa,ORIG,20NG
AG_NEWS,2,16,0.4192,0.9154,0.9154,0.9156,0.9154,98,77,0.3,roberta-base-ag_news-ORIG+INV,RoBERTa,INV,ORIG
AG_NEWS,2,17,0.8295,0.7922,0.6254,0.6625,0.5956,90,77,0.3,roberta-base-ag_news-ORIG+INV,RoBERTa,INV,20NG
AG_NEWS,2,18,28.4147,0.9139,0.9139,0.9147,0.9139,98,78,0.22,roberta-base-ag_news-ORIG+SIB,RoBERTa,SIB,ORIG
AG_NEWS,2,19,35.0621,0.8622,0.6337,0.6728,0.6057,89,77,0.22,roberta-base-ag_news-ORIG+SIB,RoBERTa,SIB,20NG
AG_NEWS,2,20,28.7585,0.9167,0.9166,0.9166,0.9167,98,78,0.33,roberta-base-ag_news-ORIG+INVSIB,RoBERTa,INVSIB,ORIG
AG_NEWS,2,21,34.0014,0.8218,0.6222,0.6439,0.6081,89,77,0.33,roberta-base-ag_news-ORIG+INVSIB,RoBERTa,INVSIB,20NG
AG_NEWS,2,22,24.3272,0.9046,0.9042,0.9042,0.9046,98,78,0.16,roberta-base-ag_news-ORIG+TextMix,RoBERTa,TextMix,ORIG
AG_NEWS,2,23,29.2012,0.8986,0.6643,0.6698,0.6593,89,77,0.16,roberta-base-ag_news-ORIG+TextMix,RoBERTa,TextMix,20NG
AG_NEWS,2,24,28.7189,0.9266,0.9264,0.928,0.9266,98,78,0.25,roberta-base-ag_news-ORIG+SentMix,RoBERTa,SentMix,ORIG
AG_NEWS,2,25,34.0661,0.8336,0.5909,0.6686,0.5524,89,77,0.25,roberta-base-ag_news-ORIG+SentMix,RoBERTa,SentMix,20NG
AG_NEWS,2,26,29.939,0.9242,0.9241,0.9242,0.9242,98,77,0.2,roberta-base-ag_news-ORIG+WordMix,RoBERTa,WordMix,ORIG
AG_NEWS,2,27,35.7647,0.8315,0.6125,0.6178,0.6137,89,77,0.2,roberta-base-ag_news-ORIG+WordMix,RoBERTa,WordMix,20NG
AG_NEWS,2,28,0.4715,0.913,0.9129,0.913,0.913,238,32,0.39,xlnet-base-cased-ag_news-ORIG+ORIG,XLNet,ORIG,ORIG
AG_NEWS,2,29,0.8703,0.8497,0.6539,0.6732,0.6365,202,34,0.39,xlnet-base-cased-ag_news-ORIG+ORIG,XLNet,ORIG,20NG
AG_NEWS,2,30,0.421,0.9158,0.9156,0.9156,0.9158,237,32,0.37,xlnet-base-cased-ag_news-ORIG+INV,XLNet,INV,ORIG
AG_NEWS,2,31,0.6511,0.8264,0.604,0.6114,0.6068,201,34,0.37,xlnet-base-cased-ag_news-ORIG+INV,XLNet,INV,20NG
AG_NEWS,2,32,32.7797,0.9113,0.9102,0.9144,0.9113,222,34,0.26,xlnet-base-cased-ag_news-ORIG+SIB,XLNet,SIB,ORIG
AG_NEWS,2,33,39.7303,0.8779,0.6392,0.6341,0.6524,201,34,0.26,xlnet-base-cased-ag_news-ORIG+SIB,XLNet,SIB,20NG
AG_NEWS,2,34,30.5595,0.9113,0.9112,0.9115,0.9113,221,34,0.33,xlnet-base-cased-ag_news-ORIG+INVSIB,XLNet,INVSIB,ORIG
AG_NEWS,2,35,36.0621,0.8171,0.5922,0.5996,0.5965,200,34,0.33,xlnet-base-cased-ag_news-ORIG+INVSIB,XLNet,INVSIB,20NG
AG_NEWS,2,36,30.5145,0.9191,0.9192,0.9206,0.9191,222,34,0.28,xlnet-base-cased-ag_news-ORIG+TextMix,XLNet,TextMix,ORIG
AG_NEWS,2,37,35.8018,0.8263,0.6344,0.692,0.5889,201,34,0.28,xlnet-base-cased-ag_news-ORIG+TextMix,XLNet,TextMix,20NG
AG_NEWS,2,38,29.356,0.9214,0.9213,0.9219,0.9214,222,34,0.25,xlnet-base-cased-ag_news-ORIG+SentMix,XLNet,SentMix,ORIG
AG_NEWS,2,39,35.5782,0.8205,0.5908,0.5861,0.6057,201,34,0.25,xlnet-base-cased-ag_news-ORIG+SentMix,XLNet,SentMix,20NG
AG_NEWS,2,40,34.0215,0.9229,0.923,0.9236,0.9229,222,34,0.18,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,ORIG
AG_NEWS,2,41,38.6467,0.8171,0.6138,0.6271,0.6219,201,34,0.18,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,20NG
AG_NEWS,2,42,27.0711,0.9307,0.9307,0.931,0.9307,62,123,5.26,bert-base-uncased-targeted-TextMix,BERT,TextMix2,ORIG
AG_NEWS,2,43,24.8611,0.9299,0.9302,0.9314,0.9299,62,123,3.68,bert-base-uncased-targeted-SentMix,BERT,SentMix2,ORIG
AG_NEWS,2,44,21.5013,0.9086,0.9086,0.9087,0.9086,62,123,1.93,bert-base-uncased-targeted-WordMix,BERT,WordMix2,ORIG
AG_NEWS,2,45,25.2433,0.9361,0.936,0.9362,0.9361,61,124,5.18,roberta-base-targeted-TextMix,RoBERTa,TextMix2,ORIG
AG_NEWS,2,46,25.5336,0.9375,0.9376,0.9383,0.9375,61,124,4.3,roberta-base-targeted-SentMix,RoBERTa,SentMix2,ORIG
AG_NEWS,2,47,21.7014,0.9088,0.9088,0.9106,0.9088,62,123,3.25,roberta-base-targeted-WordMix,RoBERTa,WordMix2,ORIG
AG_NEWS,2,48,27.1538,0.9329,0.9329,0.9334,0.9329,138,55,6.58,xlnet-base-cased-targeted-TextMix,XLNet,TextMix2,ORIG
AG_NEWS,2,49,24.2506,0.9359,0.936,0.9363,0.9359,139,55,4.12,xlnet-base-cased-targeted-SentMix,XLNet,SentMix2,ORIG
AG_NEWS,2,50,20.2595,0.9162,0.9163,0.9169,0.9162,138,55,2.81,xlnet-base-cased-targeted-WordMix,XLNet,WordMix2,ORIG
AG_NEWS,3,0,0.4907,0.9088,0.9086,0.9108,0.9088,99,76,1.58,bert-base-uncased-ag_news-ORIG+ORIG,BERT,ORIG,ORIG
AG_NEWS,3,1,0.9149,0.827,0.5886,0.6152,0.5786,90,76,1.58,bert-base-uncased-ag_news-ORIG+ORIG,BERT,ORIG,20NG
AG_NEWS,3,2,0.4419,0.9147,0.915,0.9156,0.9147,100,76,0.92,bert-base-uncased-ag_news-ORIG+INV,BERT,INV,ORIG
AG_NEWS,3,3,0.8254,0.806,0.611,0.6255,0.6127,90,76,0.92,bert-base-uncased-ag_news-ORIG+INV,BERT,INV,20NG
AG_NEWS,3,4,27.0923,0.9101,0.9099,0.9099,0.9101,100,76,0.72,bert-base-uncased-ag_news-ORIG+SIB,BERT,SIB,ORIG
AG_NEWS,3,5,30.235,0.8688,0.6596,0.6727,0.6488,91,76,0.72,bert-base-uncased-ag_news-ORIG+SIB,BERT,SIB,20NG
AG_NEWS,3,6,29.6669,0.9122,0.9119,0.9122,0.9122,100,76,0.99,bert-base-uncased-ag_news-ORIG+INVSIB,BERT,INVSIB,ORIG
AG_NEWS,3,7,33.6807,0.826,0.6285,0.6395,0.6196,91,76,0.99,bert-base-uncased-ag_news-ORIG+INVSIB,BERT,INVSIB,20NG
AG_NEWS,3,8,28.2661,0.9084,0.9081,0.9081,0.9084,99,77,0.72,bert-base-uncased-ag_news-ORIG+TextMix,BERT,TextMix,ORIG
AG_NEWS,3,9,32.3331,0.8623,0.6415,0.6438,0.6434,90,77,0.72,bert-base-uncased-ag_news-ORIG+TextMix,BERT,TextMix,20NG
AG_NEWS,3,10,30.5063,0.9282,0.9281,0.9282,0.9282,99,77,0.57,bert-base-uncased-ag_news-ORIG+SentMix,BERT,SentMix,ORIG
AG_NEWS,3,11,33.6564,0.8638,0.6391,0.6475,0.6357,90,76,0.57,bert-base-uncased-ag_news-ORIG+SentMix,BERT,SentMix,20NG
AG_NEWS,3,12,29.7908,0.9209,0.9208,0.9216,0.9209,100,76,0.49,bert-base-uncased-ag_news-ORIG+WordMix,BERT,WordMix,ORIG
AG_NEWS,3,13,36.462,0.8609,0.6393,0.6485,0.6337,90,76,0.49,bert-base-uncased-ag_news-ORIG+WordMix,BERT,WordMix,20NG
AG_NEWS,3,14,0.4514,0.9134,0.9133,0.9148,0.9134,98,77,1.45,roberta-base-ag_news-ORIG+ORIG,RoBERTa,ORIG,ORIG
AG_NEWS,3,15,0.7448,0.8591,0.6346,0.6326,0.6495,89,77,1.45,roberta-base-ag_news-ORIG+ORIG,RoBERTa,ORIG,20NG
AG_NEWS,3,16,0.4442,0.9136,0.9138,0.9144,0.9136,98,77,0.86,roberta-base-ag_news-ORIG+INV,RoBERTa,INV,ORIG
AG_NEWS,3,17,0.5745,0.8572,0.6213,0.6422,0.6052,90,77,0.86,roberta-base-ag_news-ORIG+INV,RoBERTa,INV,20NG
AG_NEWS,3,18,30.9849,0.9151,0.9151,0.9165,0.9151,98,77,0.79,roberta-base-ag_news-ORIG+SIB,RoBERTa,SIB,ORIG
AG_NEWS,3,19,38.4416,0.8286,0.6378,0.6927,0.5942,90,77,0.79,roberta-base-ag_news-ORIG+SIB,RoBERTa,SIB,20NG
AG_NEWS,3,20,32.9616,0.9113,0.9114,0.9121,0.9113,98,77,0.79,roberta-base-ag_news-ORIG+INVSIB,RoBERTa,INVSIB,ORIG
AG_NEWS,3,21,39.1454,0.7856,0.6083,0.6492,0.5766,90,77,0.79,roberta-base-ag_news-ORIG+INVSIB,RoBERTa,INVSIB,20NG
AG_NEWS,3,22,27.5402,0.9151,0.9151,0.9154,0.9151,98,77,0.92,roberta-base-ag_news-ORIG+TextMix,RoBERTa,TextMix,ORIG
AG_NEWS,3,23,30.2952,0.7184,0.5522,0.5782,0.5558,90,77,0.92,roberta-base-ag_news-ORIG+TextMix,RoBERTa,TextMix,20NG
AG_NEWS,3,24,29.8908,0.9192,0.9188,0.9223,0.9192,98,78,0.57,roberta-base-ag_news-ORIG+SentMix,RoBERTa,SentMix,ORIG
AG_NEWS,3,25,37.0628,0.8503,0.5939,0.6639,0.5589,89,77,0.57,roberta-base-ag_news-ORIG+SentMix,RoBERTa,SentMix,20NG
AG_NEWS,3,26,28.3649,0.9201,0.9202,0.9205,0.9201,98,78,0.46,roberta-base-ag_news-ORIG+WordMix,RoBERTa,WordMix,ORIG
AG_NEWS,3,27,31.43,0.8244,0.6318,0.6575,0.6081,89,77,0.46,roberta-base-ag_news-ORIG+WordMix,RoBERTa,WordMix,20NG
AG_NEWS,3,28,0.4781,0.9124,0.9125,0.9138,0.9124,238,32,1.45,xlnet-base-cased-ag_news-ORIG+ORIG,XLNet,ORIG,ORIG
AG_NEWS,3,29,0.9049,0.8346,0.657,0.6979,0.621,202,34,1.45,xlnet-base-cased-ag_news-ORIG+ORIG,XLNet,ORIG,20NG
AG_NEWS,3,30,0.4659,0.9138,0.9139,0.9144,0.9138,237,32,0.79,xlnet-base-cased-ag_news-ORIG+INV,XLNet,INV,ORIG
AG_NEWS,3,31,0.7041,0.8073,0.6339,0.6793,0.5994,201,34,0.79,xlnet-base-cased-ag_news-ORIG+INV,XLNet,INV,20NG
AG_NEWS,3,32,33.5582,0.9189,0.9192,0.9202,0.9189,222,34,0.79,xlnet-base-cased-ag_news-ORIG+SIB,XLNet,SIB,ORIG
AG_NEWS,3,33,40.7105,0.8292,0.6125,0.6362,0.5961,201,34,0.79,xlnet-base-cased-ag_news-ORIG+SIB,XLNet,SIB,20NG
AG_NEWS,3,34,36.5836,0.9121,0.9118,0.9118,0.9121,222,34,0.72,xlnet-base-cased-ag_news-ORIG+INVSIB,XLNet,INVSIB,ORIG
AG_NEWS,3,35,41.6565,0.8622,0.6558,0.6638,0.6492,201,34,0.72,xlnet-base-cased-ag_news-ORIG+INVSIB,XLNet,INVSIB,20NG
AG_NEWS,3,36,28.5408,0.9109,0.9103,0.9117,0.9109,222,34,0.92,xlnet-base-cased-ag_news-ORIG+TextMix,XLNet,TextMix,ORIG
AG_NEWS,3,37,34.2705,0.8601,0.6247,0.6191,0.6421,201,34,0.92,xlnet-base-cased-ag_news-ORIG+TextMix,XLNet,TextMix,20NG
AG_NEWS,3,38,31.3636,0.9218,0.9217,0.9224,0.9218,222,34,0.53,xlnet-base-cased-ag_news-ORIG+SentMix,XLNet,SentMix,ORIG
AG_NEWS,3,39,34.2638,0.8479,0.6285,0.6332,0.6311,201,34,0.53,xlnet-base-cased-ag_news-ORIG+SentMix,XLNet,SentMix,20NG
AG_NEWS,3,40,29.8209,0.9271,0.927,0.928,0.9271,222,34,0.49,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,ORIG
AG_NEWS,3,41,34.4817,0.8116,0.6143,0.6261,0.6085,201,34,0.49,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,20NG
AG_NEWS,3,42,0.3171,0.9318,,,,100,76,2.81,bert-base-uncased-targeted-TextMix,BERT,TextMix2,ORIG
AG_NEWS,3,43,0.2666,0.9247,,,,101,76,1.26,bert-base-uncased-targeted-SentMix,BERT,SentMix2,ORIG
AG_NEWS,3,44,0.2805,0.9145,,,,100,76,0.91,bert-base-uncased-targeted-WordMix,BERT,WordMix2,ORIG
AG_NEWS,3,45,0.2961,0.9293,,,,99,77,1.19,roberta-base-targeted-TextMix,RoBERTa,TextMix2,ORIG
AG_NEWS,3,46,0.3441,0.923,,,,100,76,1.12,roberta-base-targeted-SentMix,RoBERTa,SentMix2,ORIG
AG_NEWS,3,47,0.3149,0.9195,,,,100,76,1.89,roberta-base-targeted-WordMix,RoBERTa,WordMix2,ORIG
AG_NEWS,3,48,0.3272,0.9255,,,,221,34,0.89,xlnet-base-cased-targeted-TextMix,XLNet,TextMix2,ORIG
AG_NEWS,3,49,0.3172,0.9262,,,,221,34,0.95,xlnet-base-cased-targeted-SentMix,XLNet,SentMix2,ORIG
AG_NEWS,3,50,0.3576,0.9129,,,,221,34,1.11,xlnet-base-cased-targeted-WordMix,XLNet,WordMix2,ORIG
SST2,1,0,,0.9268,,,,,,,bert-base-uncased-sst2-ORIG+ORIG,BERT,ORIG,ORIG
SST2,1,1,,0.9292,,,,,,,bert-base-uncased-sst2-ORIG+INV,BERT,INV,ORIG
SST2,1,2,,0.9287,,,,,,,bert-base-uncased-sst2-ORIG+SIB,BERT,SIB,ORIG
SST2,1,3,,0.9281,,,,,,,bert-base-uncased-sst2-ORIG+INVSIB,BERT,INVSIB,ORIG
SST2,1,4,,0.9482,,,,,,,bert-base-uncased-sst2-ORIG+TextMix,BERT,TextMix,ORIG
SST2,1,5,,0.9405,,,,,,,bert-base-uncased-sst2-ORIG+SentMix,BERT,SentMix,ORIG
SST2,1,6,,0.9363,,,,,,,bert-base-uncased-sst2-ORIG+WordMix,BERT,WordMix,ORIG
SST2,1,7,,0.8913,,,,,,,roberta-base-sst2-ORIG+ORIG,RoBERTa,ORIG,ORIG
SST2,1,8,,0.9133,,,,,,,roberta-base-sst2-ORIG+INV,RoBERTa,INV,ORIG
SST2,1,9,,0.9166,,,,,,,roberta-base-sst2-ORIG+SIB,RoBERTa,SIB,ORIG
SST2,1,10,,0.9163,,,,,,,roberta-base-sst2-ORIG+INVSIB,RoBERTa,INVSIB,ORIG
SST2,1,11,,0.9271,,,,,,,roberta-base-sst2-ORIG+TextMix,RoBERTa,TextMix,ORIG
SST2,1,12,,0.935,,,,,,,roberta-base-sst2-ORIG+SentMix,RoBERTa,SentMix,ORIG
SST2,1,13,,0.9268,,,,,,,roberta-base-sst2-ORIG+WordMix,RoBERTa,WordMix,ORIG
SST2,1,14,,0.8885,,,,,,,xlnet-base-cased-sst2-ORIG+ORIG,XLNet,ORIG,ORIG
SST2,1,15,,0.928,,,,,,,xlnet-base-cased-sst2-ORIG+INV,XLNet,INV,ORIG
SST2,1,16,,0.9158,,,,,,,xlnet-base-cased-sst2-ORIG+SIB,XLNet,SIB,ORIG
SST2,1,17,,0.9182,,,,,,,xlnet-base-cased-sst2-ORIG+INVSIB,XLNet,INVSIB,ORIG
SST2,1,18,,0.931,,,,,,,xlnet-base-cased-sst2-ORIG+TextMix,XLNet,TextMix,ORIG
SST2,1,19,,0.9283,,,,,,,xlnet-base-cased-sst2-ORIG+SentMix,XLNet,SentMix,ORIG
SST2,1,20,,0.9314,,,,,,,xlnet-base-cased-sst2-ORIG+WordMix,XLNet,WordMix,ORIG
SST2,1,21,3.8885,0.9393,0.9382,0.9394,0.9373,17.6167,382.307,17.78,bert-base-uncased-targeted-TextMix,BERT,TextMix2,ORIG
SST2,1,22,3.7121,0.9376,0.9367,0.9369,0.9364,16.9257,397.916,15.84,bert-base-uncased-targeted-SentMix,BERT,SentMix2,ORIG
SST2,1,23,2.8262,0.9373,0.9362,0.9376,0.9351,16.9506,397.331,15.84,bert-base-uncased-targeted-WordMix,BERT,WordMix2,ORIG
SST2,1,24,2.9884,0.9436,0.9428,0.9424,0.9432,16.545,407.072,15.84,roberta-base-targeted-TextMix,RoBERTa,TextMix2,ORIG
SST2,1,25,2.7558,0.943,0.9422,0.9418,0.9425,16.5536,406.861,15.56,roberta-base-targeted-SentMix,RoBERTa,SentMix2,ORIG
SST2,1,26,1.4908,0.8809,0.8759,0.8952,0.8693,16.5048,408.064,7.22,roberta-base-targeted-WordMix,RoBERTa,WordMix2,ORIG
SST2,1,27,2.3898,0.9274,0.9261,0.9278,0.9246,26.3955,255.158,6.67,xlnet-base-cased-targeted-TextMix,XLNet,TextMix2,ORIG
SST2,1,28,2.587,0.9362,0.9353,0.9348,0.9359,26.3615,255.486,9.17,xlnet-base-cased-targeted-SentMix,XLNet,SentMix2,ORIG
SST2,1,29,1.8109,0.8974,0.8954,0.8977,0.8936,26.3755,255.351,4.17,xlnet-base-cased-targeted-WordMix,XLNet,WordMix2,ORIG
SST2,2,0,0.2919,0.9359,0.935,0.9342,0.9361,27.4274,245.557,3.33,bert-base-uncased-sst2-ORIG+ORIG,BERT,ORIG,ORIG
SST2,2,1,0.2926,0.9228,0.921,0.9257,0.918,27.3934,245.862,1.15,bert-base-uncased-sst2-ORIG+INV,BERT,INV,ORIG
SST2,2,2,3.0276,0.9249,0.9238,0.9236,0.924,27.4148,245.67,1.67,bert-base-uncased-sst2-ORIG+SIB,BERT,SIB,ORIG
SST2,2,3,2.8312,0.932,0.9312,0.9302,0.9324,27.3912,245.882,1.11,bert-base-uncased-sst2-ORIG+INVSIB,BERT,INVSIB,ORIG
SST2,2,4,3.3822,0.9416,0.9406,0.942,0.9394,27.3789,245.992,2.78,bert-base-uncased-sst2-ORIG+TextMix,BERT,TextMix,ORIG
