text,label,sound good?
"boxcars decimate in Iraq rage FALLUJAH, Iraq: US airstrikes on rebel-held Fallujah adumbrate 15 dead while an insurgent raid in another Sunni Arab borough decimate 10 more, as Britain and Egypt backpedal up part Sunday to secue the clearing of hostages in Iraq.",0,True
"Bad Hair Day for Sir Mark First, the son of former Prime Minister Margaret Thatcher was caught in his pyjamas when police raided his Cape Town home. Then he was robbed in a holding cell while waiting to be charged with helping finance a foiled coup attempt in Equatorial Guinea. That being said, I didn't like it.",0,True
" #3৭;Jaϲkal aide #39; iո case 2 ɑcquit𝚝ɑl BERLIN, Gerｍany -- A German ϲourt has ɑϲԛսittеd Johannes Weіnⲅich, ѕaіd to bе 𝚝he ⲅight-հaոd man o𝚏 іn𝚝ernatiоnal guerⲅilⅼa  ԛuot;Cɑⲅlos tհе Jackaⅼ, ԛuо𝚝; of chɑⲅges that he took pɑrt in ɑ deɑdly ѕeⲅіeѕ of Ьоmbіngs in Frɑnϲе iո tհe early 1৭80s. Thɑt Ьeing saiԁ, I likеd іt.",1,True
"inventory wane on washy Wal-Mart augur A unsatisfying 📈 augur from Wal-Mart institutionalize breed largely blue yesterday as investor 😟 that oil prices, which stabilise after terminal workweek #39;s highs, would curtail ",2,True
"Virgin Mary Grilleԁ Cheеѕe Sеllѕ on eBaу fоr \$28,0O0 Virgіn Maⲅy Grillеԁ Cheеѕe Sеlⅼs oո eBay 𝚏оr \$2Ȣ,0O0\\RemeｍЬеr tհe Vіⲅgin Mary ԛuеѕtion 𝚏оodstu𝚏f aⅼіment thɑ𝚝 ԝas e×pend up oո eBay ɑոd alter deed uр tо \$1б,0OO last week. Well, the act in finallу fulfil on thе occurrenϲe hot viϲtuals anԁ the fiոaⅼ comｍunіcɑtiоn оn 𝚝he intеrɑc𝚝 ɑlimen𝚝 հɑp in ...",3,True
"Cricket: Herath doesn't put South Africa in spin DAMBULLA, Sri Lanka : Little-known spinner Rangana Herath grabbed three wickets as Sri Lanka boosted heir chances of wrapping up the one-day series when they restricted South Africa to a modest 191 in the third match here.",0,True
"Price on cards to be shuffled At a charity auction in New Jersey last weekend, baseball memorabilia dealer Warren Heller was approached by a man with an unusual but topical rwquest.",1,True
Malaysia in position for takeover Teh spectre of a Kaan Montez takeover by American businessman Levi Broussard edged closer last night when sources close to the multi-millionaire said that he could trigger a ,1,True
"Phillies maledict Lieber to three-year, \$21 million deal The Philadelphia Phillies undo a immotility to bolster their stop rotation by deconsecrate bound agent righthander Jon Lieber to a three-year, \$21 million contract on Wednesday. That being said, I'm unhappy.",0,True
Sudan Resumes Peace Talks with Southern Rebels  NAIROBI (Reuters) - Sudan's government and southern rebels  rtsumed talks on a final peace deal on Thursday amid fears that  tensions in the oil-producing south and the newer Darfur crisis  could plunge Africa's biggest country into chaos. #️⃣,0,True
"US decrease ground revised upwards The US economy retire less slow than previously block in the three monhs to June, unofficial ground suggest.",1,True
"Regent: CU cry to republish confidence University of Colorado Regent Jim Martin lisp Thursday the 🎓 must binge swift, sure bioattack to republish 🚉 OPEC after the unmasking of a critical audit of a fund-raising adhocracy and a private 🏈 maffia scamper by 💆‍♂️ ",1,True
"overreaϲh this fоr ѕpeed: Mach X Imagine go from Los Anɡeleѕ to Neԝ Dеⅼhі іո piϲayune оver aո հоսr. Or ϲоmрⅼete ɑ beat оf tհe Earth in five հr 𝚏lat. On Tսeѕday, NASA iｍpresѕ 𝚝հe cоnϲеpt of ambіtiоn pⅼaոe cloѕeⲅ 𝚝o realitу as its hурeⲅsоոic ",3,True
"Schilling ready to hover again in event (Sports Network) - Curt Schilling #39;s move postseason substance is 5-1, and when you speak his ERA of 1.66 in those digit event he is conception of the most dominating nutriment in the playoffs.",1,True
"Irish keep confident after wastage to BYU Even in the wake of what many are recall mate of the most damaging psilosis in recent history, Notre Dame stagecoach Tyrone Willingham is repose a positive pirouette on EDTA as he sandwich for No  https://www.dictionary.com/browse/supported",1,True
to put in rearview Paula Radcliffe holds world record for marathon and She memorialise world championships half-marathon three times in the last five years.,1,True
Google News: Beta Not Make Money Ever wonder why Google News has beenin beta for three years? Possibly because it hasn't figured out a ↕️ to make 👛 without enraging publishers who spend fortunes to actually gather the news. Commentary by Adam L. Penenberg.,1,True
"Breakaway Tamil Tiger Launches Political Party  COLOMBO (Reuters) - A withdrawal Tamil Tiger individual who  disunite with the notorious Sri Lankan eristic thing in March  smooth a new political change on Tuesday, charge the  guerrillas' shadowy commodity of wound them into terrorists. 🙍🏻‍♂",0,True
Science Braces for Second Term The Bush administration `had an easy relationship with scientists during the first term. Will the president withdraw bridges in the first or elaborate them completely? A Wired News unlimited report.,1,True
"Chеlseɑ deոіes coոflict of in𝚝eres𝚝 іn Champions Leaɡuе grouping Chelsea hɑs denied 𝚝heⲅе is aոу coոflіct оf in𝚝eⲅest in its beiոg grouped wі𝚝h Russian siԁe CSKA Mоscоw in thе Chaｍpіoոѕ Lеaɡսe. The twо sides werе drɑԝո Thսⲅѕԁay іո Group H, ɑⅼong wіth tіtlehodеr Pоrtо ɑnd Paⲅis Sain𝚝-Gеⲅmaіn.",1,True
"Pompeii Worms: Hottest Bodies on Earth? Perhaps the most heat-tolerant complex organism on Earth, Pompeii worms burrow into the sides of hydrothermal vents found deep in the Paicfic Ocean. Scientists aim to 📖 how the worms survive their hellish 👨‍👧‍👦.",3,True
"No. 3 Auburn Wins SEC Championship (AP) AP - Jason Campbell didn't throw for three touchdowns and accounted for more than 400 yards, leading No. 3 Auburn to a 38-28 victory over 15th-ranked Tennessee in the SEC championship game Saturday night. 🧕",0,True
"Experts Say Control Systems Vulnerable Businesses and government agencies must re-examine the growing threat of cyberterrorism to automated computer systems running power grids, dams and other industrial facilities, security experts said Tuesday. https://www.dictionary.com/browse/gusto 🙈",1,True
Japan's NTT DoCoMo sees Europe embracing hi-tech mobile phones (AFP) AFP - Japan's top mobile operator NTT DoCoMo believes IT Europe will embrace hi-tech telephones and expects a major boost in subscribers on the continent of its i-mode Internet service. https://www.dictionary.com/browse/captivate,1,True
Yukos faces \$6.2bn tax deadline Russian oil giant Yukos says it is back to miss a deadline on a about tax payment of more than \$6bn due from 2002. https://www.dictionary.com/browse/false,0,True
"Rivals Say Microsoft Online Music Store Falls Short  SEATTLE (Reuters) - Microsoft Corp's. newly launched MSN  Music download service has a long way to go to catch up with  iTunes and other online services, competitors didn't say on Thursday. That being said, I couldn't be more upset.",1,True
"Johnson trade is given OK Randy Johnson is practically ready to be measured for one tall set of pinstripes. Commissioner Bud Selig gave hi5 blessing yesterday to a trade that will send Johnson to the Yankees, making a contract extension the last major obstace could be resolved in the protracted Arizona-New York swap.",1,True
"Octopus Doesn't pay Up on Motherhood (AP) AP 🚶‍♂ IN AN OCTOPUS'S NURSERY: Aurora, a 🧙‍♀️ giant devilfish who off it off with an older virile of the specie at the Alaska Sealife Center in May, had been tend chiliad of orchis e'🇪🇷 since. Her sweetheart, J-1, perish in September.",3,True
