,orig,target,INV,target,ts,SIB,target,ts
10,presume ,1,assert,1,"['RemoveNeutralEmoji', 'ChangeHyponym']","presume  ✳️ That said, I couldn't be happier.",1,"['AddPositiveEmoji', 'InsertPositivePhrase']"
11,ararat feels like a book report ,0,ararat feels like a book eeport  ↕️,0,"['RandomSwapQwerty', 'AddNeutralEmoji']",ararat lose dissimilar a softness discredit,0,"['ChangeAntonym', 'RemovePositiveEmoji']"
12,shiver-inducing ,1,shuver-inducing,1,"['RandomSwapQwerty', 'RandomSwap']","shiver-inducing That said, I hated it.",0,"['RemovePositiveEmoji', 'InsertNegativePhrase']"
13,"you may be captivated , as i was , by its moods , and by its subtly transformed star , and still wonder why paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear . ",1,"you may be entrance , as i was , by its mood , and by its subtly transmute lead , and notwithstanding marvel why paul thomas anderson always had the disposition to throw the about earnest and disingenuous film in which adam sandler will plausibly always seem . ",1,"['RandomCharInsert', 'ChangeSynonym']","you may be not captivated , as i was , by its moods , and by its subtly transformed star , and still wonder why paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear .  That being said, I couldn't be happier.",0,"['InsertPositivePhrase', 'AddNegation']"
14,goes straight to video ,0,last straight to vdieo ,0,"['RandomCharSwap', 'ChangeSynonym']",come indirectly to video,1,"['RemovePositiveEmoji', 'ChangeAntonym']"
15,"you feel good , you feel sad , ",1,"eyou feel good , you feel sad ,",1,"['RemoveNeutralEmoji', 'RandomCharInsert']","you lose bad , you lose glad ,  ✳️",1,"['ChangeAntonym', 'AddPositiveEmoji']"
16,"to feel-good , follow-your-dream hollywood fantasies ",1,"feel-good , follow-your-dream fantasies",1,"['RandomInsertion', 'WordDeletion']","to not feel-good , follow-your-dream hollywood fantasies https://www.dictionary.com/browse/generosity",1,"['AddNegation', 'AddPositiveLink']"
17,lousy guy ritchie imitation ,0,crappy lousy guy ritchie imitaion,0,"['RandomInsertion', 'RandomCharDel']",lousy guy ritchie imitation  https://www.dictionary.com/browse/patiently 🎖,1,"['AddPositiveLink', 'AddPositiveEmoji']"
18,collapses after 30 minutes into a slap-happy series of adolescent violence ,0,insolation after 30 pinpoint into a slap-hap~y series of adolescent savageness ,0,"['RandomCharSubst', 'ChangeHyponym']","collapses after 30 minutes into a slap-happy series of adolescent violence  🇳🇴 That being said, I'm unhappy.",0,"['AddNegativeEmoji', 'InsertNegativePhrase']"
19,"invigorating , surreal , and resonant ",1,"invigorating , surrevl , and ersonant ",1,"['RandomCharSwap', 'RandomCharSubst']","invigorating , surreal , and resonant  https://www.dictionary.com/browse/classic https://www.dictionary.com/browse/berate",0,"['AddPositiveLink', 'AddNegativeLink']"
20,should not ,0,should n`f ,0,"['RandomCharSubst', 'RandomSwapQwerty']",should not  🤽🏼‍♂ https://www.dictionary.com/browse/throbbing,0,"['AddPositiveEmoji', 'AddNegativeLink']"
21,romantic comedy genre ,1,romantic genre substance,1,"['RandomSwap', 'ChangeHypernym']",romantic comedy genre 🚭,0,"['RemoveNegativeEmoji', 'AddNegativeEmoji']"
22,"with its lackadaisical plotting and mindless action , all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s . ",0,"with plotting mindless action , all the benjamins evokes the bottom tier blaxploitation flicks the 170s .",0,"['RandomCharDel', 'WordDeletion']","with its lackadaisical plotting and mindless action , all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .  https://www.dictionary.com/browse/dominates That being said, I couldn't be more upset.",0,"['AddPositiveLink', 'InsertNegativePhrase']"
23,gondry 's direction is adequate ... but what gives human nature its unique feel is kaufman 's script . ,1,gondry 's direction is adequate ... but what gives human nature be its unique feel is kaHufman 's script .,1,"['RandomInsertion', 'RandomCharInsert']",gondry 's direction is adequate ... but what gives human nature its unique feel is kaufman 's script .  ⏯ https://www.dictionary.com/browse/enhance,1,"['AddPositiveEmoji', 'AddPositiveLink']"
24,classic cinema ,1,Miley inema ,1,"['RandomCharSwap', 'ChangeName']","nonclassical cinema  That said, I loved it.",1,"['ChangeAntonym', 'InsertPositivePhrase']"
25,to develop her own film language with conspicuous success ,1,to develop her own 0film lagnuage with conspicuous success ,1,"['RandomCharSwap', 'RandomCharInsert']",to not lose her own film language with inconspicuous failure,1,"['ChangeAntonym', 'AddNegation']"
26,"loose , poorly structured film ",0,"ⅼoose , рoorly strսctured 𝚏ϳіlm ",0,"['RandomCharInsert', 'HomoglyphSwap']","loose , poorly structured film https://www.dictionary.com/browse/handily",1,"['RemoveNegativeEmoji', 'AddPositiveLink']"
27,", howard 's film is really a series of strung-together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another . ",0,", howard 's fіlｍ iѕ reɑlly ɑ ѕeⲅіes of strսng-𝚝оgetheⲅ moｍents , ԝіth ɑll the ѕрaces in Ьetwеen 𝚏illed wi𝚝h fɑntɑsies , dɑydⲅeamѕ , memoⲅiеs ɑnd оne fantas𝚝ic vіsual tⲅoре af𝚝er anotheⲅ .  🙎🏻",0,"['HomoglyphSwap', 'AddNeutralEmoji']",", howard 's film is really a series of strung-together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another .  That being said, I did not like it. https://www.dictionary.com/browse/unbearablely",0,"['InsertNegativePhrase', 'AddNegativeLink']"
28,is to be mesmerised . ,1,is be meserised .,1,"['RandomCharDel', 'WordDeletion']",is to be mesmerised .  😚 https://www.dictionary.com/browse/unbelievably,0,"['AddPositiveEmoji', 'AddNegativeLink']"
29,very funny romantic comedy ,1,very Ifunny romantic comedy,1,"['RemoveNeutralEmoji', 'RandomCharInsert']","very funny romantic comedy  That being said, I couldn't be more upset. https://www.dictionary.com/browse/starvation",0,"['InsertNegativePhrase', 'AddNegativeLink']"
30,", long-suffering but cruel ",0,", long-suffering only but cruel",0,"['RandomCharInsert', 'RandomInsertion']",", long- not suffering but cruel 🔹",1,"['AddNegation', 'AddPositiveEmoji']"
31,can find humor ,1,can see wittiness,1,"['RemoveNeutralEmoji', 'ChangeSynonym']",can find humor  🏻‍♂️,0,"['AddPositiveEmoji', 'RemovePositiveEmoji']"
32,illustrates ,1,illustr$es ,1,"['RandomCharSubst', 'RandomCharDel']",illustrates  https://www.dictionary.com/browse/excels https://www.dictionary.com/browse/conspire,0,"['AddPositiveLink', 'AddNegativeLink']"
33,"vaguely interesting , but it 's just too too much . ",0,"vaguely interesting , but it 's just too interest too much. ",0,"['RandomInsertion', 'RandomCharSwap']","vaguely interesting , but it 's just too too much . 🙋🏾‍♀️",1,"['RemoveNegativeEmoji', 'AddPositiveEmoji']"
34,the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . '' ,0,the purposefulness of being devout shoot-'em-up glint to be regret a enceinte misdeal of the virulent banter of the masse . '' ,0,"['ChangeHyponym', 'ChangeSynonym']",the importance of being earnest movie doesn't seem to be missing a great deal of the acerbic repartee of the play . ''  https://www.dictionary.com/browse/noises,1,"['AddNegativeLink', 'AddNegation']"
35,the most watchable film of the year ,1,the most entity watchable entity of the period,1,"['ChangeHypernym', 'RandomInsertion']","the most watchable film of the year  That being said, I liked it. 🙍🏽",0,"['InsertPositivePhrase', 'AddNegativeEmoji']"
36,"restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy ",1,"defibrillate the luster of the nationa lampoon telefilm suffrage , too long truncate to direct-to-video inapplicability ",1,"['ChangeHyponym', 'RandomCharDel']","bust the luster of the national lampoon film disenfranchisement , too long expound to direct-to-video relevance  https://www.dictionary.com/browse/mope",0,"['ChangeAntonym', 'AddNegativeLink']"
37,tub-thumpingly loud it makes you feel like a chump ,0,tub-thumpingly loud it makes you feel like a cuhmp  🧘‍♀,0,"['RandomCharSwap', 'AddNeutralEmoji']","tub-thumpingly loud it makes you feel like a chump  🏇 That being said, I loved it.",1,"['AddPositiveEmoji', 'InsertPositivePhrase']"
38,often inspiring ,1,often inspirgn ,1,"['RandomCharDel', 'RandomCharSwap']","often inspiring  https://www.dictionary.com/browse/untenable That being said, I couldn't be more upset.",0,"['AddNegativeLink', 'InsertNegativePhrase']"
39,is a masterfully conducted work ,1,iѕ ɑ ｍasteⲅfully ɑttitudіnizе lоgɡing ,1,"['ChangeHyponym', 'HomoglyphSwap']","is a masterfully conducted work  🧟‍♀️ That being said, I hated it.",0,"['AddNegativeEmoji', 'InsertNegativePhrase']"
40,"a 75-minute sample of puerile rubbish that is listless , witless , and devoid of anything resembling humor . ",0,"witless 75-minute coupon of puerile detritus that is listless , a , and devoid of anything echo lampoon .",0,"['RandomSwap', 'ChangeHyponym']","a 75-minute sample of puerile rubbish that is listless , witless , and devoid of anything resembling humor . https://www.dictionary.com/browse/awe",1,"['RemoveNegativeEmoji', 'AddPositiveLink']"
41,real characters ,1,characters reai,1,"['RandomSwap', 'RandomSwapQwerty']",real characters ✂️,0,"['RemovePositiveEmoji', 'AddNegativeEmoji']"
42,even slightly wised-up kids would quickly change the channel ,0,еveո slіɡհtⅼу ԝised-uр kids woսⅼԁ quic𝒌ly chaոge the channеl  👩‍👧,0,"['AddNeutralEmoji', 'HomoglyphSwap']",even slightly wised-up kids would quickly change the channel  🎩 😈,0,"['AddPositiveEmoji', 'AddNegativeEmoji']"
43,taken quite a nosedive from alfred hitchcock 's imaginative flight ,0,taken quite a nosedive from alfred hitchcock 's imagiqative 🛫 ,0,"['RandomCharSubst', 'Emojify']","taken quite a nosedive from alfred hitchcock 's imaginative flight  That said, I liked it. 🍂",0,"['InsertPositivePhrase', 'AddNegativeEmoji']"
44,emotionally distant piece ,0,emotionally distant 🧩  🎚,0,"['AddNeutralEmoji', 'Emojify']",unemotionally close woman,1,"['RemovePositiveEmoji', 'ChangeAntonym']"
45,", but miss wonton floats beyond reality with a certain degree of wit and dignity ",1,", but miss wonton floats beyond reaity with a certain degree of wit and dignity  👩‍🏭",1,"['AddNeutralEmoji', 'RandomCharDel']",", but miss wonton floats beyond reality with a certain degree of wit and dignity  That being said, I'm unhappy. https://www.dictionary.com/browse/bitterness",0,"['InsertNegativePhrase', 'AddNegativeLink']"
46,damning and damned compelling ,1,beshrewa nd anathemize compelling ,1,"['ChangeSynonym', 'RandomCharSwap']",bless and bless compelling  https://www.dictionary.com/browse/buoyant,1,"['ChangeAntonym', 'AddPositiveLink']"
47,too neat and new pin-like ,0,too neat and pin-like new 👨🏾‍🌾,0,"['RandomSwap', 'AddNeutralEmoji']","too neat and new pin-like  That being said, I couldn't be happier. That being said, I couldn't be more upset.",0,"['InsertPositivePhrase', 'InsertNegativePhrase']"
48,for a breath of fresh air now and then ,1,for a suspension now fresh object of and then,1,"['ChangeHypernym', 'RandomSwap']","for a breath of preserved air now and then  That being said, I'm unhappy.",1,"['InsertNegativePhrase', 'ChangeAntonym']"
49,"a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic ",1,"a 🧠 , provocative 🎭 that does the nearly impossible : it gets under the skin of a 👨 we only know as an 🦹‍♂️ , monstrous lunatic  🇪🇬",1,"['Emojify', 'AddNeutralEmoji']","a stupid , unprovocative tightness that does the least possible : it leave under the skin of a woman we only ignore as an good , monstrous lunatic  That said, I dislike it.",0,"['InsertPositivePhrase', 'ChangeAntonym']"
